Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,playerid
Terry Doyle,White Sox (A+),25,73,6.04,1.36,4.45,0.37,16.50%,3.70%,12.80%,0.25,1.12,0.293,71.40%,2.84,2.95,-0.12,sa392100
Jose Flores,Indians (A+),22,55.1,7.97,3.09,2.58,0.33,19.10%,7.40%,11.70%,0.304,1.64,0.376,51.00%,6.02,2.96,3.06,sa503583
Brandon Morrow,Blue Jays (A+),26,9.1,10.61,5.79,1.83,0,22.90%,12.50%,10.40%,0.31,2.04,0.419,52.60%,7.71,2.96,4.75,9346
Mitchell Conner,Brewers (A+),21,9.1,7.71,1.93,4,0,17.40%,4.40%,13.00%,0.286,1.5,0.353,31.30%,10.61,2.96,7.65,sa599800
Daniel Klein,Orioles (A+),22,15.2,12.06,1.72,7,1.15,35.00%,5.00%,30.00%,0.161,0.77,0.212,100.00%,1.15,2.97,-1.82,sa392156
Tyson Corley,White Sox (A+),25,4,4.5,2.25,2,0,11.10%,5.60%,5.60%,0.235,1.25,0.267,0.00%,0,2.98,-2.98,sa327765
Kurt Yacko,Rockies (A+),23,72.2,7.93,1.73,4.57,0.12,21.60%,4.70%,16.80%,0.259,1.2,0.332,83.10%,1.86,2.98,-1.13,sa454989
Ryan Pope,Yankees (A+),25,5,7.2,3.6,2,0,21.10%,10.50%,10.50%,0.059,0.6,0.077,100.00%,0,2.99,-2.99,sa390383
Joseph Ortiz,Rangers (A+),20,67,7.39,1.88,3.93,0.54,20.40%,5.20%,15.20%,0.211,1.01,0.254,80.10%,2.15,2.99,-0.84,7955
Jack Egbert,Mets (A+),28,22.2,4.76,1.59,3,0,11.80%,3.90%,7.80%,0.34,1.63,0.388,60.50%,4.37,2.99,1.38,7487
Zack Osborne,Rangers (A+),23,56.1,7.67,2.08,3.69,0.32,20.40%,5.50%,14.90%,0.236,1.14,0.295,68.50%,3.36,3,0.36,sa548457
Mitch Herold,Red Sox (A+),25,40.1,7.14,2.9,2.46,0.22,19.30%,7.80%,11.50%,0.204,1.09,0.252,66.50%,3.35,3.01,0.34,sa455284
Santo Manzanillo,Brewers (A+),22,41.1,9.36,3.05,3.07,0.44,25.00%,8.10%,16.90%,0.198,1.09,0.259,85.70%,1.52,3.03,-1.5,sa329086
Kyle Mcpherson,Pirates (A+),23,72.2,7.43,0.74,10,0.5,20.70%,2.10%,18.60%,0.225,0.94,0.274,72.40%,2.85,3.03,-0.18,5009
Tyler Cloyd,Phillies (A+),24,42.1,8.29,1.49,5.57,0.64,23.80%,4.30%,19.50%,0.205,0.92,0.254,78.20%,2.55,3.03,-0.48,8536
Justin Cassel,White Sox (A+),26,11.1,3.18,1.59,2,0,7.80%,3.90%,3.90%,0.286,1.41,0.311,68.80%,0.79,3.05,-2.26,sa326857
Chris Balcom-Miller,Red Sox (A+),22,34.2,9.61,2.86,3.36,0.52,27.40%,8.20%,19.30%,0.198,1.01,0.268,79.60%,2.34,3.06,-0.72,sa501527
